Ordem;Nº Equip.;Exercício;Nº Séries;Repetições;Peso;Pausa;Ritmo de Execução;Regulagem
1;5;Supino reto articulado;3;10;5-5;"30""";1-2;7
2;04;Voador PV;3;10;4-3;"30""";1-2;5-5
3;-;Desenvolvimento anterior (halter);3;12;5;"30""";1-2;-
4;26;Tríceps cross com corda;3;12;8;"30""";1-2;2-4
5;11;Braço extensor;3;15;3-4;"30""";1-2;4
6;7;Elevação lateral com halter;3;15;-;"30""";1-2;-
7;8;ABD aparelho sentado;3;15;-;"30""";1-2;-
